"","School","G","W","L","W_Lprct","SOS","FG","FGA","FGprct","3P","3PA","threeptprct","FT","FTA","FTprct","Pace","ORtg","FTr","threePAr","TS%","TRB%","ASTprct","STLprct","BLKprct","eFGprct","TOprct","ORBprct","FT/FGA","powerScore","seed","ORB_gm","TRB_gm","AST_gm","STL_gm","BLK_gm","TOV_gm","Fouls_gm","PPG","PAPG","pointdiff"
"1","Abilene Christian",27,23,4,0.852,-8.46,749,1628,0.46,214,606,0.353,384,571,0.673,72.5,107,0.351,0.372,0.552,51.8,65.6,13.7,9.2,0.526,16.5,31.7,0.236,3,14,11.4444444444444,36.2962962962963,18.1851851851852,9.92592592592593,3.11111111111111,13.8518518518519,19.4074074074074,77.6296296296296,60.5185185185185,17.1111111111111
"2","Alabama",30,24,6,0.8,10.38,834,1937,0.431,320,912,0.351,399,554,0.72,75.1,105.9,0.286,0.471,0.542,51,51.1,11.5,10.6,0.513,16,31.5,0.206,15,2,12.4,40.5,14.2,8.63333333333333,4.36666666666667,14,18.4666666666667,79.5666666666667,69.7666666666667,9.8
"3","Appalachian State",28,17,11,0.607,-5.23,674,1626,0.415,227,701,0.324,411,558,0.737,66.7,104.1,0.343,0.431,0.525,50.6,49.4,11.8,9.8,0.484,14.8,29.9,0.253,1,16,10.9642857142857,35.9642857142857,11.8928571428571,8.03571428571429,3.46428571428571,11.75,13.7857142857143,70.9285714285714,64.5,6.42857142857143
"4","Arkansas",28,22,6,0.786,6.36,825,1814,0.455,220,649,0.339,437,593,0.737,75.3,108.9,0.327,0.358,0.55,52.8,50.8,10.7,13.5,0.515,14.9,31.7,0.241,14,3,11.9285714285714,39.9642857142857,14.9642857142857,8.07142857142857,5.17857142857143,13.1428571428571,16.9285714285714,82.3928571428571,70.6785714285714,11.7142857142857
"5","Baylor",24,22,2,0.917,5.36,746,1513,0.493,248,593,0.418,285,409,0.697,70.2,119.5,0.27,0.392,0.593,53.2,54.8,12.7,10.3,0.575,14.9,37.5,0.188,16,1,12.875,36.4583333333333,17.0416666666667,8.95833333333333,3.75,12.4166666666667,17.1666666666667,84.375,66.4166666666667,17.9583333333333
"6","Brigham Young",26,20,6,0.769,5.81,751,1557,0.482,233,616,0.378,312,427,0.731,70.5,110.1,0.274,0.396,0.582,54.8,57.4,6.6,7.2,0.557,16.4,28.7,0.2,11,6,9.5,39.3846153846154,16.5769230769231,4.73076923076923,2.80769230769231,13.3076923076923,18,78.7307692307692,68.4615384615385,10.2692307692308
"7","UC-Santa Barbara",26,22,4,0.846,-4.35,717,1477,0.485,176,501,0.351,379,505,0.75,67.4,112.5,0.342,0.339,0.579,54.2,59,11.1,7.4,0.545,14.2,29.4,0.257,5,12,9.26923076923077,35.1923076923077,16.2692307692308,7.57692307692308,2.76923076923077,10.9615384615385,15.8846153846154,76.5,62.8076923076923,13.6923076923077
"8","Clemson",23,16,7,0.696,10.2,541,1264,0.428,192,555,0.346,228,298,0.765,64.9,100.1,0.236,0.439,0.534,50.2,56.4,9.3,9.2,0.504,17.2,26.6,0.18,10,7,8.60869565217391,32.6521739130435,13.2608695652174,6.08695652173913,2.8695652173913,12.695652173913,15.695652173913,65.304347826087,62,3.30434782608695
"9","Cleveland State",26,19,7,0.731,-5.05,684,1514,0.452,166,520,0.319,324,484,0.669,67.6,103.2,0.32,0.343,0.533,49.8,53.1,10.1,7.7,0.507,16.1,30.9,0.214,2,15,10.7307692307692,35,13.9615384615385,7,2.5,12.8461538461538,19.1923076923077,71.4615384615385,70.5769230769231,0.884615384615387
"10","Colgate",15,14,1,0.933,1.43,472,946,0.499,136,338,0.402,215,294,0.731,72.2,118.6,0.311,0.357,0.596,53.3,55.5,9.9,8.7,0.571,12.2,28.1,0.227,3,14,9.6,39.7333333333333,17.4666666666667,7.2,3.46666666666667,10.0666666666667,15.6666666666667,86.3333333333333,68.6,17.7333333333333
